cenario,faixa_risco,multiplicador_renda,teto_rating,pct_max_comprometimento,elegivel_aprovacao_automatica,elegivel_aprovacao_reduzida,tratamento_rating,valor_minimo_operacional
Conservador,A - Baixo risco,3.0,17986.62,0.25,True,True,automatico,500.0
Conservador,B - Médio-baixo risco,2.0,14389.29,0.2,True,True,automatico,500.0
Conservador,C - Médio risco,1.5,10791.97,0.15,True,True,automatico,500.0
Conservador,D - Alto risco,0.0,0.0,0.1,False,False,analise_manual,500.0
Conservador,E - Muito alto risco,0.0,0.0,0.0,False,False,recusa,500.0
Base/Equilibrado,A - Baixo risco,4.0,25365.36,0.3,True,True,automatico,500.0
Base/Equilibrado,B - Médio-baixo risco,3.0,20292.29,0.25,True,True,automatico,500.0
Base/Equilibrado,C - Médio risco,2.0,15219.22,0.2,True,True,automatico,500.0
Base/Equilibrado,D - Alto risco,0.0,0.0,0.15,False,False,analise_manual,500.0
Base/Equilibrado,E - Muito alto risco,0.0,0.0,0.0,False,False,recusa,500.0
Expansivo controlado,A - Baixo risco,5.0,39222.68,0.35,True,True,automatico,500.0
Expansivo controlado,B - Médio-baixo risco,4.0,31378.15,0.3,True,True,automatico,500.0
Expansivo controlado,C - Médio risco,2.5,23533.61,0.25,True,True,automatico,500.0
Expansivo controlado,D - Alto risco,0.0,0.0,0.2,False,False,analise_manual,500.0
Expansivo controlado,E - Muito alto risco,0.0,0.0,0.0,False,False,recusa,500.0
